task_id,domain,task_type,difficulty,blind_model_code,provider_ui,model_display,verdict,severity,technical_correctness,evidence_grounding,completeness,uncertainty_calibration,systems_reasoning,clarity,error_taxonomy,critical_failure,review_path,reviewer_confidence,written_rationale,improved_answer,candidate_response,source_reference,prompt,reference_context,annotation_origin
RB-SMR-005,SMR / AMR / MMR,Economics and FOAK/NOAK,Hard,Model-C,ChatGPT Web,ChatGPT Web — GPT-5.6 Luna (displayed/default),Accept as written,Low,5,5,5,5,5,5,No material error,None,No additional review,5,"The response is technically sound and closely aligned with the reference context. Accurately distinguishes FOAK premiums from mature-fleet assumptions and appropriately frames the magnitude as project-specific. No material correction is needed, and the answer is sufficiently bounded for the stated economics and foak/noak task.","A vendor’s NOAK (nth-of-a-kind) cost target is generally an **aspirational mature-fleet cost**, not a realistic estimate for the first commercial unit (FOAK).

The first unit typically bears costs that later units can avoid or reduce: first-of-a-kind engineering and licensing work, incomplete design maturity, prototype or qualification activities, supply-chain development, specialized tooling, construction learning, commissioning delays, and contingency for unresolved technical or project risks. It may also lack the economies of repetition assumed in NOAK estimates—such as standardized procurement, trained construction teams, established suppliers, and optimized construction sequences.

Therefore, using the NOAK target as the expected first-unit cost can systematically understate the capital required and create an unjustifiably optimistic economic case. A sound assessment should instead model **FOAK-specific costs and risk allowances**, then treat the NOAK figure as a potential longer-term cost after sufficient deployment and learning.

The magnitude of the FOAK-to-NOAK premium is **design- and project-specific**; it cannot be inferred reliably from the vendor’s NOAK target alone.","A vendor’s NOAK (nth-of-a-kind) cost target is generally an **aspirational mature-fleet cost**, not a realistic estimate for the first commercial unit (FOAK).

The first unit typically bears costs that later units can avoid or reduce: first-of-a-kind engineering and licensing work, incomplete design maturity, prototype or qualification activities, supply-chain development, specialized tooling, construction learning, commissioning delays, and contingency for unresolved technical or project risks. It may also lack the economies of repetition assumed in NOAK estimates—such as standardized procurement, trained construction teams, established suppliers, and optimized construction sequences.

Therefore, using the NOAK target as the expected first-unit cost can systematically understate the capital required and create an unjustifiably optimistic economic case. A sound assessment should instead model **FOAK-specific costs and risk allowances**, then treat the NOAK figure as a potential longer-term cost after sufficient deployment and learning.

The magnitude of the FOAK-to-NOAK premium is **design- and project-specific**; it cannot be inferred reliably from the vendor’s NOAK target alone.",IAEA SMR publications; general project-economics principles,Why is it risky to use a vendor's NOAK cost target as the expected cost of the first commercial unit?,"NOAK assumptions generally depend on learning, standardized design, repeat orders, mature supply chains, stable construction performance and financing conditions. FOAK projects may face first-of-kind engineering, licensing, supply-chain and execution premiums. The model should separate disclosed estimate type, basis, currency/year and uncertainty.",assistant_drafted_expert_review_pending_user_signoff
RB-GIF-VHTR-002,GIF Gen-IV — VHTR / HTGR,RCCS / systems reasoning,Hard,Model-C,ChatGPT Web,ChatGPT Web — GPT-5.6 Luna (displayed/default),Accept as written,Low,5,5,5,5,5,5,No material error,None,No additional review,5,"The response is technically sound and closely aligned with the reference context. Best aligned with the reference: it treats RCCS function, classification, dependencies and safety credit as design-specific questions to verify. No material correction is needed, and the answer is sufficiently bounded for the stated rccs / systems reasoning task.","An evaluator should flag “only a normal-operation HVAC function” as an **overly broad and potentially misleading characterization**. The key question is what safety, licensing, and design functions the RCCS is credited with for the particular reactor.

A technically careful description should distinguish **normal heat removal/temperature control** from **heat removal credited during abnormal or accident conditions**. In some designs, the Reactor Cavity Cooling System has an important role in limiting reactor-cavity, vessel, or surrounding structure temperatures after loss of normal heat removal, potentially supporting fuel or structural integrity. In others, its safety classification and credited functions may differ substantially.

The evaluator should look for recognition of:

* the specific reactor design and design-basis events;
* whether RCCS is passive, active, or hybrid and what initiates its response;
* credited heat-removal and temperature-limit functions;
* dependencies such as power, instrumentation, or cooling boundaries;
* whether it is safety-related, non-safety-related, or otherwise credited in the applicable design framework.

Thus, “only HVAC” is acceptable only if explicitly limited to a design where the RCCS has no credited safety or accident-mitigation function.","An evaluator should flag “only a normal-operation HVAC function” as an **overly broad and potentially misleading characterization**. The key question is what safety, licensing, and design functions the RCCS is credited with for the particular reactor.

A technically careful description should distinguish **normal heat removal/temperature control** from **heat removal credited during abnormal or accident conditions**. In some designs, the Reactor Cavity Cooling System has an important role in limiting reactor-cavity, vessel, or surrounding structure temperatures after loss of normal heat removal, potentially supporting fuel or structural integrity. In others, its safety classification and credited functions may differ substantially.

The evaluator should look for recognition of:

* the specific reactor design and design-basis events;
* whether RCCS is passive, active, or hybrid and what initiates its response;
* credited heat-removal and temperature-limit functions;
* dependencies such as power, instrumentation, or cooling boundaries;
* whether it is safety-related, non-safety-related, or otherwise credited in the applicable design framework.

Thus, “only HVAC” is acceptable only if explicitly limited to a design where the RCCS has no credited safety or accident-mitigation function.",GIF VHTR public materials; general HTGR safety concepts,What should an evaluator look for when a model describes the Reactor Cavity Cooling System as 'only a normal-operation HVAC function'?,"In HTGR concepts using an RCCS, the system can support removal of heat from the reactor vessel/cavity, including safety-relevant decay-heat scenarios depending on the design. Evaluation should identify the credited safety function, heat-transfer path, passive/active features, interfaces and applicable design basis.",assistant_drafted_expert_review_pending_user_signoff
RB-NOG-004,NOG / Operating Procedures,Configuration control,Hard,Model-B,Claude Web,Claude Web — Claude Sonnet 5 Moyen (displayed),Accept with minor edits,Moderate,4,3,5,5,5,4,Source or authority weakness,None,Operations or procedure validation,5,"The core conclusion is correct and the response is usable, but a limited correction is needed. The core configuration-control logic is sound, but the response introduces jurisdiction-specific screening terminology and interim-control examples not supported by the reference. The issue does not overturn the central engineering conclusion, so a minor edit is sufficient.","Procedure impact should be assessed as part of modification/configuration control. If the modification affects operating actions, indications, limits, interfaces or expected response, affected procedures should be updated and validated before relying on the modified configuration.","Not necessarily — it depends on whether the modification changes anything the operating guideline currently relies on or describes.

The right test is a document-impact review, not a calendar. Ask specifically:

- Does the modification alter setpoints, alarm limits, valve lineups, interlocks, or normal operating ranges referenced in the guideline?
- Does it change component tags, system boundaries, or equipment behavior described in procedure steps?
- Could following the *old* guideline text on the *new* configuration create an unsafe, incorrect, or ambiguous action (mis-operation risk)?
- Are there interim compensatory measures (temporary procedure changes, operator briefings, tags) needed to bridge the gap until formal revision?

If the modification has no functional overlap with the guideline's steps or bases, deferring the update to the next periodic revision may be acceptable — but this should be a documented conclusion of the design change's 50.59-type or equivalent operability/procedure-impact screening, not a default assumption.

If there *is* overlap, the guideline should be revised (or at minimum temporarily controlled) concurrent with implementation, not left stale until the next cycle, since operators would otherwise be executing a procedure that no longer matches plant configuration.

In short: the answer is configuration-specific and must be justified by an explicit impact assessment, not assumed by default.",IAEA SSG-70; SSG-71; configuration-management principles,A system design modification has been approved. Can the existing normal operating guideline remain unchanged until the next periodic revision?,"Procedure impact should be assessed as part of modification/configuration control. If the modification affects operating actions, indications, limits, interfaces or expected response, affected procedures should be updated and validated before relying on the modified configuration.",assistant_drafted_expert_review_pending_user_signoff
RB-EPR-003,EPR / PWR Systems & Safety,LOCA analysis,Hard,Model-C,ChatGPT Web,ChatGPT Web — GPT-5.6 Luna (displayed/default),Accept as written,Low,5,5,5,5,5,5,No material error,None,No additional review,5,"The response is technically sound and closely aligned with the reference context. Comprehensive traceability from scenario and boundary conditions through models, system response, uncertainty, acceptance criteria, results and V&V. No material correction is needed, and the answer is sufficiently bounded for the stated loca analysis task.","Before accepting an AI summary of a LOCA analysis, the key results should be traceable back to the **analysis basis, inputs, models, and calculations** that produced them. At minimum, traceability should cover:

* **Plant/design assumptions:** reactor type, geometry, systems credited, initial conditions, break location/size, and boundary conditions.
* **Acceptance criteria:** the specific safety limits or evaluation criteria being assessed, without assuming they are universally applicable.
* **Thermal-hydraulic models:** code/model version, nodalization, correlations, constitutive models, and treatment of key phenomena.
* **Transient sequence:** timing and logic for break discharge, system responses, trips, safety injection, accumulators, ECCS, containment effects, and operator actions where applicable.
* **Sensitivity/uncertainty treatment:** assumptions affecting peak cladding temperature, oxidation, core cooling, inventory, pressure, and other relevant metrics.
* **Results:** numerical values, locations, times, and governing cases, with units and sufficient precision.
* **Verification and validation:** evidence that the calculation setup and models are appropriate for the intended application.
* **Case identification:** which limiting or bounding case generated each conclusion.

The summary should also distinguish **calculated results from analyst interpretation**, and flag any omitted assumptions or unresolved uncertainties rather than presenting them as established facts.","Before accepting an AI summary of a LOCA analysis, the key results should be traceable back to the **analysis basis, inputs, models, and calculations** that produced them. At minimum, traceability should cover:

* **Plant/design assumptions:** reactor type, geometry, systems credited, initial conditions, break location/size, and boundary conditions.
* **Acceptance criteria:** the specific safety limits or evaluation criteria being assessed, without assuming they are universally applicable.
* **Thermal-hydraulic models:** code/model version, nodalization, correlations, constitutive models, and treatment of key phenomena.
* **Transient sequence:** timing and logic for break discharge, system responses, trips, safety injection, accumulators, ECCS, containment effects, and operator actions where applicable.
* **Sensitivity/uncertainty treatment:** assumptions affecting peak cladding temperature, oxidation, core cooling, inventory, pressure, and other relevant metrics.
* **Results:** numerical values, locations, times, and governing cases, with units and sufficient precision.
* **Verification and validation:** evidence that the calculation setup and models are appropriate for the intended application.
* **Case identification:** which limiting or bounding case generated each conclusion.

The summary should also distinguish **calculated results from analyst interpretation**, and flag any omitted assumptions or unresolved uncertainties rather than presenting them as established facts.",IAEA GSR Part 4; public PWR accident-analysis principles,"Before accepting an AI summary of a LOCA analysis, what technical elements should be traceable?","The summary should preserve the initiating event and break assumptions, initial and boundary conditions, system availability assumptions, physical models, key safety criteria, uncertainties, relevant operator actions if credited, and the link between calculated results and the safety conclusion.",assistant_drafted_expert_review_pending_user_signoff
RB-GIF-GFR-002,GIF Gen-IV — GFR,Technology-family distinction,Hard,Model-C,ChatGPT Web,ChatGPT Web — GPT-5.6 Luna (displayed/default),Accept as written,Low,5,5,5,5,5,5,No material error,None,No additional review,5,"The response is technically sound and closely aligned with the reference context. Precisely identifies spectrum, moderator, fuel/core architecture and associated safety differences without turning family-level tendencies into universal design facts. No material correction is needed, and the answer is sufficiently bounded for the stated technology-family distinction task.","The missing point is that **helium is only the coolant choice, not the defining reactor architecture**.

A **GFR (Gas-cooled Fast Reactor)** uses helium but is designed around a **fast neutron spectrum**, typically requiring a relatively high heavy-metal loading and little or no neutron moderation. Its core, fuel form, power density, coolant conditions, and fuel-cycle objectives follow from that spectrum.

A **VHTR (Very-High-Temperature Reactor)** is generally a **thermal-spectrum, graphite-moderated reactor**. Helium provides cooling, while graphite provides neutron moderation and much of the core’s structural/functionality. Its characteristic high outlet temperature and fuel concepts (e.g., coated-particle fuel) are tied to that architecture.

Thus, the evaluation should distinguish reactors by **neutron spectrum and moderator, fuel form and core configuration, operating temperature/power density, and associated safety and fuel-cycle characteristics**, rather than coolant alone. The exact design details vary among implementations, so these are family-level distinctions rather than universal specifications.","The missing point is that **helium is only the coolant choice, not the defining reactor architecture**.

A **GFR (Gas-cooled Fast Reactor)** uses helium but is designed around a **fast neutron spectrum**, typically requiring a relatively high heavy-metal loading and little or no neutron moderation. Its core, fuel form, power density, coolant conditions, and fuel-cycle objectives follow from that spectrum.

A **VHTR (Very-High-Temperature Reactor)** is generally a **thermal-spectrum, graphite-moderated reactor**. Helium provides cooling, while graphite provides neutron moderation and much of the core’s structural/functionality. Its characteristic high outlet temperature and fuel concepts (e.g., coated-particle fuel) are tied to that architecture.

Thus, the evaluation should distinguish reactors by **neutron spectrum and moderator, fuel form and core configuration, operating temperature/power density, and associated safety and fuel-cycle characteristics**, rather than coolant alone. The exact design details vary among implementations, so these are family-level distinctions rather than universal specifications.",GIF GFR and VHTR public materials,A model treats GFR and VHTR as the same reactor family because both use helium. What is missing?,"Coolant alone does not define the reactor concept. GFR is a fast-spectrum gas-cooled system with fuel/core choices supporting fast neutronics, while VHTR is generally a thermal-spectrum graphite-moderated high-temperature system. Their safety, materials, fuel and decay-heat-removal considerations differ.",assistant_drafted_expert_review_pending_user_signoff
RB-SMR-004,SMR / AMR / MMR,Deployment readiness,Hard,Model-B,Claude Web,Claude Web — Claude Sonnet 5 Moyen (displayed),Accept with minor edits,Low,5,4,5,5,4,4,Source or authority weakness,None,Source verification required,5,"The core conclusion is correct and the response is usable, but a limited correction is needed. Technically strong, but it adds jurisdiction-specific licensing examples and historical schedule claims that are not needed to answer the prompt. The issue does not overturn the central engineering conclusion, so a minor edit is sufficient.","Vendor schedules are evidence of intent, not sufficient proof of deployment readiness. Evaluation should distinguish design maturity, licensing status, construction status, supply-chain readiness, fuel availability, demonstrated technology, financing and site-specific approvals. Source authority and date matter.","A vendor-announced commercial operation date is a business/schedule commitment, not an engineering readiness indicator, and shouldn't be treated as evidence of deployment readiness on its own. Evaluating the claim properly means checking independent, verifiable milestones instead:

- **Regulatory status**: has the design received (or substantially progressed through) formal safety review — e.g., a completed design certification, construction permit, or equivalent licensing milestone from the relevant regulator — rather than just an application filing.
- **Technology maturity**: fuel qualification, materials/components tested at relevant scale, and resolution of known technical risks (e.g., novel coolant chemistry, fuel fabrication supply chain).
- **Supply chain and fabrication readiness**: whether long-lead components (pressure vessels, fuel, specialized alloys) have qualified suppliers, not just design specs.
- **First-of-a-kind status**: FOAK projects have a well-documented history of schedule slippage; an announced date for a first unit carries much higher uncertainty than for an Nth-of-a-kind unit.
- **Site-specific licensing progress**, since ""deployment-ready"" is meaningless without a specific site's permitting status.

Announced dates should be treated as vendor targets, cross-checked against these independent milestones — and historically, SMR schedule announcements have shifted significantly, so schedule claims alone warrant skepticism.",IAEA ARIS; regulator and vendor public sources,A model ranks an SMR as 'deployment-ready' because the vendor has announced a commercial operation date. How should that claim be evaluated?,"Vendor schedules are evidence of intent, not sufficient proof of deployment readiness. Evaluation should distinguish design maturity, licensing status, construction status, supply-chain readiness, fuel availability, demonstrated technology, financing and site-specific approvals. Source authority and date matter.",assistant_drafted_expert_review_pending_user_signoff
RB-DT-001,HTGR / Digital Twin,Model fidelity and validation,Medium,Model-A,Gemini Web,Gemini Web — 3.5 Flash-Lite (displayed),Accept with minor edits,Low,4,4,4,5,4,4,Unsupported generalization,None,Domain SME review,5,"The core conclusion is correct and the response is usable, but a limited correction is needed. Correctly rejects nominal matching as sufficient, but it overstates what nominal agreement proves and assumes a broad off-normal validation envelope regardless of intended use. The issue does not overturn the central engineering conclusion, so a minor edit is sufficient.","No. Validation should be tied to intended use and cover relevant states, data provenance, model assumptions, uncertainty, interfaces, calibration/verification evidence and known limitations. Nominal trend matching alone does not establish decision-grade fidelity.","No, reproducing expected nominal trends is not sufficient to validate a digital twin for nuclear engineering decision support.

While matching nominal data confirms that the model captures baseline steady-state behavior and normal operating interpolation, nuclear decision support frequently involves safety margins, transients, and off-normal or design-basis accident conditions. A truly validated model requires rigorous verification and validation across a broad operational envelope, including perturbation testing, transient response fidelity, and comprehensive uncertainty quantification.

Furthermore, validation is **context-dependent** and varies based on the specific engineering application—such as core neutronics versus thermal-hydraulics—and its associated safety classification. Without demonstrating predictive capability beyond nominal bounds and rigorously quantifying epistemic and aleatory uncertainties, relying solely on nominal trend reproduction is insufficient for high-consequence, safety-critical decisions.",Digital-twin systems-engineering principles,A digital twin reproduces expected nominal trends. Is that enough to call it validated for engineering decision support?,"No. Validation should be tied to intended use and cover relevant states, data provenance, model assumptions, uncertainty, interfaces, calibration/verification evidence and known limitations. Nominal trend matching alone does not establish decision-grade fidelity.",assistant_drafted_expert_review_pending_user_signoff
RB-SMR-004,SMR / AMR / MMR,Deployment readiness,Hard,Model-C,ChatGPT Web,ChatGPT Web — GPT-5.6 Luna (displayed/default),Accept as written,Low,5,5,5,5,5,5,No material error,None,No additional review,5,"The response is technically sound and closely aligned with the reference context. Directly matches the reference basis and separates design, licensing, technology, constructability, project execution and schedule credibility. No material correction is needed, and the answer is sufficiently bounded for the stated deployment readiness task.","A vendor-announced commercial operation date is **not evidence by itself that an SMR is deployment-ready**. It is a schedule claim, not a demonstration of technical, regulatory, supply-chain, or construction readiness.

The claim should be evaluated against objective evidence such as:

* **Design maturity:** sufficiently complete engineering, validated safety analyses, and resolution of major design uncertainties.
* **Licensing status:** applicable regulatory reviews/approvals and a credible path to remaining approvals.
* **Technology maturity:** relevant testing, component qualification, and—where important—operational experience or demonstrated prototypes.
* **Constructability:** evidence that the design can actually be manufactured, supplied, assembled, and constructed at the claimed scale and schedule.
* **Project execution:** site-specific permits, financing, contracting, workforce, infrastructure, and an executable construction plan.
* **Schedule credibility:** comparison of the announced date with demonstrated durations and dependencies, including contingency for unresolved risks.

The assessment should distinguish **“vendor projects commercial operation by date X”** from **“the technology has demonstrated readiness to enter commercial deployment.”** A claim could be credible for a mature, licensed design with a well-supported project, but it is not justified merely by the existence of a commercial operation-date announcement.","A vendor-announced commercial operation date is **not evidence by itself that an SMR is deployment-ready**. It is a schedule claim, not a demonstration of technical, regulatory, supply-chain, or construction readiness.

The claim should be evaluated against objective evidence such as:

* **Design maturity:** sufficiently complete engineering, validated safety analyses, and resolution of major design uncertainties.
* **Licensing status:** applicable regulatory reviews/approvals and a credible path to remaining approvals.
* **Technology maturity:** relevant testing, component qualification, and—where important—operational experience or demonstrated prototypes.
* **Constructability:** evidence that the design can actually be manufactured, supplied, assembled, and constructed at the claimed scale and schedule.
* **Project execution:** site-specific permits, financing, contracting, workforce, infrastructure, and an executable construction plan.
* **Schedule credibility:** comparison of the announced date with demonstrated durations and dependencies, including contingency for unresolved risks.

The assessment should distinguish **“vendor projects commercial operation by date X”** from **“the technology has demonstrated readiness to enter commercial deployment.”** A claim could be credible for a mature, licensed design with a well-supported project, but it is not justified merely by the existence of a commercial operation-date announcement.",IAEA ARIS; regulator and vendor public sources,A model ranks an SMR as 'deployment-ready' because the vendor has announced a commercial operation date. How should that claim be evaluated?,"Vendor schedules are evidence of intent, not sufficient proof of deployment readiness. Evaluation should distinguish design maturity, licensing status, construction status, supply-chain readiness, fuel availability, demonstrated technology, financing and site-specific approvals. Source authority and date matter.",assistant_drafted_expert_review_pending_user_signoff
RB-SYS-002,Systems Engineering & Requirements,Interface management,Hard,Model-C,ChatGPT Web,ChatGPT Web — GPT-5.6 Luna (displayed/default),Accept as written,Low,5,5,5,5,5,5,No material error,None,No additional review,5,"The response is technically sound and closely aligned with the reference context. Comprehensive system-level impact assessment with design-basis checks, V&V, configuration control and formal disposition of unresolved impacts. No material correction is needed, and the answer is sufficiently bounded for the stated interface management task.","Before approval, the change should undergo a **formal design/interface impact assessment**, not just a review of the improved subsystem. The assessment should identify all functions, systems, and dependencies affected by the modified shared interface, including safety-related functions, failure modes, isolation, protection, control, instrumentation, and human interactions as applicable.

The proposed design should then be evaluated against the applicable **design basis and acceptance criteria**, with appropriate analyses, verification, testing, and configuration-control updates. Particular attention should be given to new or changed failure modes and to whether a fault in the modified interface could propagate between otherwise independent functions.

Approval should occur only after the responsible engineering disciplines have reviewed the change, required verification and validation are complete or adequately staged, and unresolved impacts are formally dispositioned. The exact depth of review is **design- and safety-significance-dependent**; a minor interface change may need limited analysis, while a change affecting shared safety functions could require substantially broader assessment.","Before approval, the change should undergo a **formal design/interface impact assessment**, not just a review of the improved subsystem. The assessment should identify all functions, systems, and dependencies affected by the modified shared interface, including safety-related functions, failure modes, isolation, protection, control, instrumentation, and human interactions as applicable.

The proposed design should then be evaluated against the applicable **design basis and acceptance criteria**, with appropriate analyses, verification, testing, and configuration-control updates. Particular attention should be given to new or changed failure modes and to whether a fault in the modified interface could propagate between otherwise independent functions.

Approval should occur only after the responsible engineering disciplines have reviewed the change, required verification and validation are complete or adequately staged, and unresolved impacts are formally dispositioned. The exact depth of review is **design- and safety-significance-dependent**; a minor interface change may need limited analysis, while a change affecting shared safety functions could require substantially broader assessment.",Systems-engineering and configuration-management practice,A change improves one subsystem but modifies a shared interface. What should happen before approval?,"The affected interface requirements, upstream/downstream systems, safety functions, operating procedures, I&C, physical integration, configuration items and verification evidence should be reviewed. Approval should consider system-level consequences, not only local performance.",assistant_drafted_expert_review_pending_user_signoff
RB-GIF-VHTR-002,GIF Gen-IV — VHTR / HTGR,RCCS / systems reasoning,Hard,Model-A,Gemini Web,Gemini Web — 3.5 Flash-Lite (displayed),Accept with minor edits,Moderate,4,4,5,4,5,4,Unsupported generalization,None,Independent safety review,5,"The core conclusion is correct and the response is usable, but a limited correction is needed. It recognizes the safety-relevant RCCS role, but overstates safety classification and passive ultimate-heat-sink credit as broadly applicable across designs. The issue does not overturn the central engineering conclusion, so a minor edit is sufficient.","In HTGR concepts using an RCCS, the system can support removal of heat from the reactor vessel/cavity, including safety-relevant decay-heat scenarios depending on the design. Evaluation should identify the credited safety function, heat-transfer path, passive/active features, interfaces and applicable design basis.","An evaluator assessing whether a model correctly characterizes the Reactor Cavity Cooling System (RCCS) must first verify its understanding of safety classifications. In many advanced reactor designs (such as high-temperature gas-cooled reactors or certain liquid-metal concepts), the RCCS is a **safety-related, passive system** designed for ultimate decay heat removal during design-basis accidents, rather than a normal-operation heating, ventilation, and air conditioning (HVAC) function.

Key technical elements an evaluator should look for include:

* **Safety Function:** Recognition that the RCCS performs a critical safety-grade function to prevent core damage and vessel overtemperature during loss-of-coolant or loss-of-forced-cooling events.
* **Operational Mode:** Distinction between active normal-operation cooling and passive, long-term heat rejection mechanisms (e.g., natural convection, radiation, or conduction to ambient structures).
* **Failure Implications:** Understanding that misclassifying the RCCS as standard balance-of-plant HVAC could lead to severe underestimation of redundancy, seismic qualification, and regulatory compliance requirements.

Because reactor designs vary significantly—some light-water reactors use cavity cooling primarily for concrete protection and humidity control during normal operations—the exact safety classification remains **design-specific and context-dependent**, which a competent model must explicitly acknowledge.",GIF VHTR public materials; general HTGR safety concepts,What should an evaluator look for when a model describes the Reactor Cavity Cooling System as 'only a normal-operation HVAC function'?,"In HTGR concepts using an RCCS, the system can support removal of heat from the reactor vessel/cavity, including safety-relevant decay-heat scenarios depending on the design. Evaluation should identify the credited safety function, heat-transfer path, passive/active features, interfaces and applicable design basis.",assistant_drafted_expert_review_pending_user_signoff
RB-NOG-005,NOG / Operating Procedures,Abnormal indication handling,Hard,Model-B,Claude Web,Claude Web — Claude Sonnet 5 Moyen (displayed),Accept with minor edits,Moderate,4,4,5,4,5,4,Unsupported generalization,None,Operations or procedure validation,5,"The core conclusion is correct and the response is usable, but a limited correction is needed. The later reasoning is strong, but the opening 'the correct action is to stop' is too categorical because approved procedures may permit continuation under defined conditions. The issue does not overturn the central engineering conclusion, so a minor edit is sufficient.","The response depends on the approved procedure and plant state. Conflicting indications should be recognized, instrument validity assessed using approved checks, and progression stopped or escalated when required. An operator should not simply choose the indication that matches expectation.","No — the correct action is to stop, not to trust the ""more reliable-looking"" channel and proceed.

The core issue is that instrument disagreement is itself a valid alarm condition, independent of which channel looks more plausible. Confirmation bias is exactly the trap here: an instrument that agrees with the expected trend gets trusted *because* it agrees, not because it has been shown to be correct. That's circular — the expected trend is the thing being verified, so using it to arbitrate a disagreement assumes the conclusion.

Proper handling is design-specific: for redundant/safety-related channels this usually means invoking a formal instrument reliability or channel-check procedure (median signal selection, 2-of-3 logic, cross-checking against an independent parameter), not an operator judgment call on ""which one looks right."" If no such resolution method exists or is ambiguous, the conservative default is to treat the parameter as unverified, slow or halt the evolution, and investigate the discrepancy before proceeding — since the discrepancy itself may indicate an instrument fault, a process anomaly, or both, and continuing on an unresolved disagreement risks masking a real deviation.",IAEA SSG-70 and conduct-of-operations principles,"During a normal operating evolution, two indications disagree. Should the operator continue if the more reliable-looking instrument supports the expected trend?","The response depends on the approved procedure and plant state. Conflicting indications should be recognized, instrument validity assessed using approved checks, and progression stopped or escalated when required. An operator should not simply choose the indication that matches expectation.",assistant_drafted_expert_review_pending_user_signoff
RB-EPR-004,EPR / PWR Systems & Safety,Dilution and recriticality,Hard,Model-A,Gemini Web,Gemini Web — 3.5 Flash-Lite (displayed),Accept as written,Low,5,5,5,5,5,4,No material error,None,No additional review,5,"The response is technically sound and closely aligned with the reference context. Correctly explains why local boron distributions and incomplete mixing can create local reactivity conditions missed by a homogeneous model. No material correction is needed, and the answer is sufficiently bounded for the stated dilution and recriticality task.","Heterogeneous dilution is important during certain pressurized water reactor (PWR) transients—such as small-break loss-of-coolant accidents (SLOCAs) involving reflux condensation or loop seals—because unborated or low-boron water can accumulate and enter the reactor core unevenly. Instead of mixing homogeneously with the existing borated coolant, distinct slugs or streams of diluted water can reach the core.

This localized reduction in soluble boron concentration introduces a rapid, highly concentrated positive reactivity insertion. Consequently, local core reactivity can exceed criticality thresholds even when the bulk, mixed-mean boron concentration in the primary system appears safe.

Whether heterogeneous dilution poses a severe recriticality risk is **strongly design-specific, context-dependent, and subject to significant thermal-hydraulic uncertainties** regarding multi-dimensional mixing in the downcomer, lower plenum, and core inlet. Factors such as loop flow rates, natural circulation regimes, and core bypass characteristics dictate whether such unborated slugs disperse safely or trigger localized power excursions.","Heterogeneous dilution is important during certain pressurized water reactor (PWR) transients—such as small-break loss-of-coolant accidents (SLOCAs) involving reflux condensation or loop seals—because unborated or low-boron water can accumulate and enter the reactor core unevenly. Instead of mixing homogeneously with the existing borated coolant, distinct slugs or streams of diluted water can reach the core.

This localized reduction in soluble boron concentration introduces a rapid, highly concentrated positive reactivity insertion. Consequently, local core reactivity can exceed criticality thresholds even when the bulk, mixed-mean boron concentration in the primary system appears safe.

Whether heterogeneous dilution poses a severe recriticality risk is **strongly design-specific, context-dependent, and subject to significant thermal-hydraulic uncertainties** regarding multi-dimensional mixing in the downcomer, lower plenum, and core inlet. Factors such as loop flow rates, natural circulation regimes, and core bypass characteristics dictate whether such unborated slugs disperse safely or trigger localized power excursions.",Public PWR reactor-physics and safety-analysis principles,Why can heterogeneous dilution be important when evaluating recriticality risk during some PWR transients?,"Spatially non-uniform boron concentration can create local reactivity conditions that differ from a well-mixed assumption. Evaluation may need coupled thermal-hydraulic and neutronic reasoning, mixing behavior, timing, core state and conservative assumptions.",assistant_drafted_expert_review_pending_user_signoff
